time,latitude,longitude,direction,speed
2015-01-01,-7,-84,-33.26142784356666,15.46250029802323
2015-01-01,-7,-83.5,-33.998602988516836,13.263649561500557
2015-01-01,-7,-83,-33.41227224481103,10.471399696922305
2015-01-01,-7,-82.5,-36.32031586856214,8.695249718189245
2015-01-01,-7,-82,-39.27943766220617,8.175249465465555
2015-01-01,-7,-81.5,-30.516919093490653,7.834099460506451
2015-01-01,-7,-81,-19.920405736360227,7.618899303531663
2015-01-01,-7,-80.5,-28.31907259456611,8.97650005197525
2015-01-01,-7,-80,-6.732921673377349,9.461248676776933
2015-01-01,-7,-79.5,38.87462712787767,4.250899817085269
2015-01-01,-7,-79,-136.21029305160476,2.0172998764038113
2015-01-01,-7,-78.5,-121.87959659066176,7.459999828338624
2015-01-01,-7,-78,-150.60394786499842,1.3281999009132406
2015-01-01,-7,-77.5,-157.1263358002816,0.24124998569488554
2015-01-01,-7,-77,-144.4623229771911,0.13319998912811304
2015-01-01,-7,-76.5,-154.8552144858772,0.14649998760223415
2015-01-01,-7,-76,137.44704919017312,0.34285001006126414
2015-01-01,-7,-75.5,132.76052233800533,0.8022499676942836
2015-01-01,-7,-75,133.15239143800275,0.6012499618530285
2015-01-01,-7,-74.5,125.63349023732849,0.9664999965429306
2015-01-01,-7,-74,128.30362333351135,1.546250029802323
2015-01-01,-7,-73.5,131.7295102706232,1.9663999401092553
2015-01-01,-7,-73,130.95551585888742,2.2162498569488562
2015-01-01,-7,-72.5,129.69907357943765,2.1352497754097044
2015-01-01,-7,-72,129.33271428234835,1.7329998488426241
2015-01-01,-7,-71.5,135.0,1.2544000106811524
2015-01-01,-7,-71,142.38063807206882,0.9468500143527994
2015-01-01,-7,-70.5,148.2763973282005,0.836200031089783
2015-01-01,-7,-70,152.98733506891767,0.6553999706268314
2015-01-01,-7,-69.5,156.80140948635182,0.49009996404647893
2015-01-01,-7,-69,160.97439511168383,0.4234499987840654
2015-01-01,-7,-68.5,163.71507784591068,0.4298499847888948
2015-01-01,-7,-68,171.06043481803673,0.4058499873518945
2015-01-01,-7,-67.5,-178.6980473494597,0.3873999957948923
2015-01-01,-7,-67,-179.36340642140175,0.405049978540093
2015-01-01,-7,-66.5,176.55261328396804,0.3456999859988691
2015-01-01,-7,-66,172.72499518472327,0.44899999743700025
2015-01-01,-7,-65.5,170.6979451404015,0.690849960827828
2015-01-01,-7,-65,148.8846696355799,0.8404999871253978
2015-01-01,-7,-64.5,116.0591417933144,2.0522498657703423
2015-01-01,-7,-64,121.01388461145181,1.921249902248384
2015-01-01,-7,-63.5,-174.02567665642604,0.373849960693718
2015-01-01,-7,-63,-161.09542318230248,0.29769997041225515
2015-01-01,-7,-62.5,-170.7397785867395,0.43444995917677975
2015-01-01,-7,-62,-173.1363078544868,0.5916499169826537
2015-01-01,-7,-61.5,-177.273689044726,0.5524999497830879
2015-01-01,-6.5,-84,-35.294261153123735,16.509250046730045
2015-01-01,-6.5,-83.5,-37.27945430148561,14.130650172805787
2015-01-01,-6.5,-83,-35.75388773425334,10.676250128746034
2015-01-01,-6.5,-82.5,-37.29391072348513,9.348999076843285
2015-01-01,-6.5,-82,-35.8194596496903,9.05129936571123
2015-01-01,-6.5,-81.5,-23.91960244990883,8.280450067090989
2015-01-01,-6.5,-81,-20.181791851561943,7.76979931373598
2015-01-01,-6.5,-80.5,-20.69825715054081,9.005450113582611
2015-01-01,-6.5,-80,19.578952640351574,8.47939951238633
2015-01-01,-6.5,-79.5,-133.95837117968074,0.07564999518394488
2015-01-01,-6.5,-79,-125.7066924832026,13.122849393749249
2015-01-01,-6.5,-78.5,-100.89689027034723,1.8132500033378602
2015-01-01,-6.5,-78,147.09475790996203,0.184499989628792
2015-01-01,-6.5,-77.5,150.0049215172744,1.0085000082254414
2015-01-01,-6.5,-77,147.31306255183654,1.0164498994827298
2015-01-01,-6.5,-76.5,143.84181390154276,0.46664997360706373
2015-01-01,-6.5,-76,118.7676498937336,0.16924999547004704
2015-01-01,-6.5,-75.5,116.56505117707799,0.6002499503493319
2015-01-01,-6.5,-75,119.23281728241372,0.7801000451087958
2015-01-01,-6.5,-74.5,124.27114015405522,0.9348999799251558
2015-01-01,-6.5,-74,128.71521996345564,1.303849978351593
